"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that search functionality works for employees with existing leave data","11986","Search kernel for information.","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","1","Validate max length for employee password-Kiểm tra độ dài tối đa mật khẩu","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"Verify that search shows appropriate message when no matching employee data found","12797","sreach kernel no for information","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","0","Create employee with passwords do not match-Kiểm tra confrim không khớp","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","1","Create employee with minimal required information-Tạo nhân viên với thông tin tối thiểu","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","9146","Login Successful With Employee Account - Đăng nhập thành công với tài khoản nhân viên","Chromium","2026-01-14","passed","2026-01-14","Login Tests","login.spec.ts","",""
"","0","Create orders when there are no shifts.","Chromium","2026-01-14","skipped","2026-01-14","leave application","leave/leave.application.spec.ts","",""
"","0","Create employee when information already exists-Tạo nhân viên khi thông tin đã tồn tại","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","0","Check the reason field for the 255-character limit.","Chromium","2026-01-14","skipped","2026-01-14","leave application","leave/leave.application.spec.ts","",""
"Verify that annual leave can be created with New status and requires confirmation","18534","Add leave with status New","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"Verify that annual leave for department can be created with New status","19549","Add leave for department with new status","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
